"MONTH YEAR","Provider Code","Entity Type",Type,"Contract Type","Contract Phase","Credit Limit / Financed Amount","Loan Application Amount",Count,Mean,Median
"December 2023",CC000201,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"78,349,000",0,574,"136,497","100,000"
"December 2023",CC000222,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"205,000",0,3,"68,333","73,000"
"December 2023",CC000282,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"2,147,483,647",0,"15,140","217,074","100,000"
"December 2023",CC000301,"Credit Card Issuer","CREDIT CARD","Credit Card",Active,"41,281,000",0,116,"355,871","150,000"
"December 2023",CC000491,"Credit Card Issuer","CREDIT CARD","Credit Card - MultiCurrency",Active,"1,030,000",0,4,"257,500","15,000"
"December 2023",CO000950,Cooperative,INSTALLMENT,"Provident Loan",Active,"10,961,670",0,248,"44,200","20,000"
"December 2023",CO003910,Cooperative,INSTALLMENT,"Student Loan",Active,"6,000",0,1,"6,000","6,000"
"December 2023",CO004770,Cooperative,INSTALLMENT,"Student Loan",Active,"235,800",0,9,"26,200","20,000"
"December 2023",CO004950,Cooperative,INSTALLMENT,"Business Loan",Active,"88,289,900",0,660,"133,773","50,000"
"December 2023",CO005470,Cooperative,INSTALLMENT,"Business Loan",Active,"31,205,808",0,376,"82,994","32,550"
"December 2023",CO005620,Cooperative,INSTALLMENT,"Salary loan",Active,"3,445,000",0,16,"215,313","187,500"
"December 2023",CO005790,Cooperative,INSTALLMENT,"Student Loan",Active,"60,000",0,2,"30,000","30,000"
"December 2023",CO005970,Cooperative,INSTALLMENT,"Personal Loan",Active,"218,000",0,3,"72,667","53,000"
"December 2023",CO006410,Cooperative,INSTALLMENT,"Business Loan",Active,"365,000",0,13,"28,077","30,000"
"December 2023",CO006440,Cooperative,INSTALLMENT,"Provident Loan",Active,"12,000",0,1,"12,000","12,000"
"December 2023",CO006610,Cooperative,INSTALLMENT,"Short Term Loan",Active,"1,059,000",0,77,"13,753","15,000"
"December 2023",CO006720,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"813,400",0,24,"33,892","10,000"
"December 2023",CO006860,Cooperative,INSTALLMENT,"Trust Loan",Active,"97,000",0,15,"6,467","5,000"
"December 2023",CO006990,Cooperative,NON-INSTALLMENT,"SWAP Loan",Active,"25,190,290",0,"1,854","13,587","3,300"
"December 2023",CO007210,Cooperative,INSTALLMENT,"Vehicle leasing",Active,"574,000",0,5,"114,800","129,500"
"December 2023",CO007270,Cooperative,INSTALLMENT,"Salary loan",Active,"3,937,000",0,35,"112,486","80,000"
"December 2023",CO007300,Cooperative,INSTALLMENT,"Student Loan",Active,"63,660",0,2,"31,830","31,830"
"December 2023",CO007340,Cooperative,INSTALLMENT,"Business Loan",Active,"2,326,000",0,73,"31,863","25,000"
"December 2023",CO007840,Cooperative,INSTALLMENT,"Term Loan",Active,"467,889,392",0,"3,881","120,559","75,000"
"December 2023",CO008100,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,575,200",0,36,"43,756","23,500"
"December 2023",CO008600,Cooperative,INSTALLMENT,"Vehicle leasing",Active,"1,520,344",0,582,"2,612","2,827"
"December 2023",CO008660,Cooperative,INSTALLMENT,"Unsecured loan",Active,"34,000",0,2,"17,000","17,000"
"December 2023",CO008790,Cooperative,INSTALLMENT,"Personal Loan",Active,"389,632",0,4,"97,408","111,350"
"December 2023",CO009130,Cooperative,INSTALLMENT,"Business Loan",Active,"3,080,696",0,10,"308,070","180,000"
"December 2023",CO009300,Cooperative,INSTALLMENT,"Term Loan",Active,"7,893,143",0,81,"97,446","35,000"
"December 2023",CO009380,Cooperative,INSTALLMENT,"Personal Loan",Active,"482,744",0,7,"68,963","82,744"
"December 2023",CO009390,Cooperative,INSTALLMENT,"Provident Loan",Active,"13,219,300",0,113,"116,985","72,000"
"December 2023",CO009400,Cooperative,INSTALLMENT,"Short Term Loan",Active,"2,778,000",0,95,"29,242","20,000"
"December 2023",CO009470,Cooperative,INSTALLMENT,"Provident Loan",Active,"180,000",0,3,"60,000","50,000"
"December 2023",CO009480,Cooperative,INSTALLMENT,"Business Loan",Active,"141,032,200",0,207,"681,315","543,500"
"December 2023",CO009590,Cooperative,INSTALLMENT,"Personal Loan",Active,"3,697,200",0,186,"19,877","11,950"
"December 2023",CO009600,Cooperative,INSTALLMENT,"Student Loan",Active,"107,500",0,3,"35,833","32,500"
"December 2023",CO010040,Cooperative,INSTALLMENT,"Salary loan",Active,"112,120",0,2,"56,060","56,060"
"December 2023",CO010160,Cooperative,INSTALLMENT,"Provident Loan",Active,"14,100,000",0,10,"1,410,000","1,150,000"
"December 2023",CO010200,Cooperative,INSTALLMENT,"Business Loan",Active,"725,000",0,3,"241,667","225,000"
"December 2023",CO010320,Cooperative,INSTALLMENT,"Business Loan",Active,"103,500",0,7,"14,786","15,000"
"December 2023",CO010370,Cooperative,INSTALLMENT,"Business Loan",Active,"950,000",0,1,"950,000","950,000"
"December 2023",CO010580,Cooperative,INSTALLMENT,"Business Loan",Active,"4,803,754",0,6,"800,626","485,794"
"December 2023",CO010640,Cooperative,INSTALLMENT,"Home equity loan",Active,"500,000",0,1,"500,000","500,000"
"December 2023",CO010710,Cooperative,INSTALLMENT,"Business Loan",Active,"220,000",0,3,"73,333","85,000"
"December 2023",CO011020,Cooperative,INSTALLMENT,"Equipment leasing",Active,"1,505,000",0,108,"13,935","12,000"
"December 2023",CO011030,Cooperative,INSTALLMENT,"Business Loan",Active,"510,000",0,2,"255,000","255,000"
"December 2023",CO011100,Cooperative,INSTALLMENT,"Equipment leasing",Active,"200,000",0,1,"200,000","200,000"
"December 2023",CO011140,Cooperative,INSTALLMENT,"Business Loan",Active,"26,997,000",0,146,"184,911","100,000"
"December 2023",CO011160,Cooperative,INSTALLMENT,"Business Loan",Active,"6,846,000",0,45,"152,133","100,000"
"December 2023",CO011190,Cooperative,INSTALLMENT,"Salary loan",Active,"1,204,340",0,34,"35,422","27,350"
"December 2023",CO011270,Cooperative,INSTALLMENT,"Loan Line",Active,"4,914,000",0,78,"63,000","28,500"
"December 2023",CO011790,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,324,000",0,73,"18,137","14,000"
"December 2023",CO011800,Cooperative,INSTALLMENT,"Business Loan",Active,"209,120,750",0,354,"590,737","270,000"
"December 2023",CO011890,Cooperative,INSTALLMENT,"Salary loan",Requested,0,"30,381,000",40,0,0
"December 2023",CO012100,Cooperative,INSTALLMENT,"Benefit Loan",Active,"2,163,900",0,84,"25,761","30,000"
"December 2023",CO012160,Cooperative,INSTALLMENT,"Business Loan",Active,"2,347,663",0,31,"75,731","32,000"
"December 2023",CO012290,Cooperative,INSTALLMENT,"Business Loan",Active,"42,381,000",0,289,"146,647","76,000"
"December 2023",CO012390,Cooperative,INSTALLMENT,"Business Loan",Active,"7,735,500",0,126,"61,393","30,000"
"December 2023",CO012600,Cooperative,INSTALLMENT,"Personal Loan",Active,"1,442,000",0,13,"110,923","100,000"
"December 2023",CO012620,Cooperative,INSTALLMENT,"Short Term Loan",Active,"5,697,000",0,79,"72,114","40,000"
"December 2023",CO012630,Cooperative,INSTALLMENT,"Salary loan",Active,"19,274,640",0,530,"36,367","15,000"
"December 2023",CO012710,Cooperative,INSTALLMENT,"Personal Loan",Active,"57,848,250",0,"1,176","49,191","30,000"
"December 2023",CO012730,Cooperative,INSTALLMENT,"Short Term Loan",Active,"109,500",0,1,"109,500","109,500"
"December 2023",CO012750,Cooperative,INSTALLMENT,"Business Loan",Active,"60,000",0,1,"60,000","60,000"
"December 2023",CO012820,Cooperative,INSTALLMENT,"Business Loan",Active,"270,000",0,2,"135,000","135,000"
"December 2023",CO012970,Cooperative,INSTALLMENT,"Provident Loan",Active,"660,000",0,5,"132,000","140,000"
"December 2023",CO013060,Cooperative,INSTALLMENT,"Provident Loan",Active,"2,750,073",0,44,"62,502","44,714"
"December 2023",CO013190,Cooperative,INSTALLMENT,"Provident Loan",Active,"1,656,385",0,12,"138,032","76,200"
"December 2023",CO013260,Cooperative,INSTALLMENT,"Provident Loan",Active,"511,200,555",0,"5,063","100,968","50,000"
"December 2023",CO013310,Cooperative,INSTALLMENT,"Business Loan",Active,"6,966,000",0,54,"129,000","61,500"
"December 2023",CO013400,Cooperative,INSTALLMENT,"Benefit Loan",Active,"1,812,300",0,182,"9,958","5,000"
"December 2023",CO013620,Cooperative,INSTALLMENT,"Personal Loan",Active,"853,430",0,47,"18,158","5,275"
"December 2023",CO013670,Cooperative,INSTALLMENT,"Benefit Loan",Active,"393,490",0,864,455,320
"December 2023",CO013790,Cooperative,INSTALLMENT,"Benefit Loan",Active,"359,000",0,61,"5,885","6,000"
"December 2023",CO013890,Cooperative,INSTALLMENT,"Business Loan",Active,"3,727,750",0,76,"49,049","30,000"
"December 2023",CO014010,Cooperative,INSTALLMENT,"Business Loan",Active,"697,322,232",0,"4,242","164,385","40,000"
"December 2023",CO014180,Cooperative,INSTALLMENT,"Business Loan",Active,"17,905,500",0,250,"71,622","50,000"
"December 2023",CO014250,Cooperative,INSTALLMENT,"Personal Loan",Active,"5,428,842",0,114,"47,621","29,168"
"December 2023",CO014430,Cooperative,INSTALLMENT,"Salary loan",Active,"661,000",0,3,"220,333","150,000"
"December 2023",CO014470,Cooperative,INSTALLMENT,"Business Loan",Active,"3,069,000",0,64,"47,953","30,000"
"December 2023",CO014560,Cooperative,INSTALLMENT,"Unsecured loan",Active,"2,472,000",0,7,"353,143","220,000"
"December 2023",CO014570,Cooperative,INSTALLMENT,"Business Loan",Active,"50,000",0,5,"10,000","10,000"
"December 2023",CO014770,Cooperative,INSTALLMENT,"Provident Loan",Active,"186,000",0,1,"186,000","186,000"
"December 2023",CO014860,Cooperative,INSTALLMENT,"Loan Line",Active,"352,934,973",0,"7,104","49,681","5,100"
"December 2023",CO014910,Cooperative,INSTALLMENT,"Business Loan",Active,"10,000",0,1,"10,000","10,000"
"December 2023",CO014920,Cooperative,INSTALLMENT,"Business Loan",Active,"485,000",0,4,"121,250","85,000"
