"Control No","Provider Code","Entity Name","Generated Date"
2019070028,CO011410,"Candijay Teachers and Community Multi Purpose Cooperative","2025-10-02 11:00:46"
2019070061,CO013790,"Holcim Employees Multi-Purpose Cooperative","2025-10-02 11:00:46"
2019070097,RB001210,"Providence Rural Bank, Inc","2025-10-02 11:00:46"
2019070121,RB002870,"Rural Bank of Lumban (Laguna), Inc.","2025-10-02 11:00:46"
2019090011,CO002570,"HPP Employees Multipurpose Cooperative","2025-10-02 11:00:46"
2019090016,CO006440,"Calapan Vendors Multi-Purpose Cooperative (CVMPC)","2025-10-02 11:00:46"
2019090050,CO013550,"Imus Vendors Development Cooperative","2025-10-02 11:00:46"
2019090057,CO016060,"Davao Oriental Market Multipurpose Cooperative (DOMMUPCO)","2025-10-02 11:00:46"
2019090062,IS008890,"Malayan Insurance Company, Inc.","2025-10-02 11:00:46"
2019090084,OT003150,"Metro South Cooperative Bank","2025-10-02 11:00:46"
2019090093,PF004460,"Nittan Capital Finance, Inc.","2025-10-02 11:00:46"
2019090117,PF008140,"Lease Finance and Credit Corporation","2025-10-02 11:00:46"
2019090122,PF013440,"Boston Credit & Investments Corporation","2025-10-02 11:00:46"
2019090137,RB001330,"Mallig Plains Rural Bank (Isabela), Inc.","2025-10-02 11:00:46"
2019090215,UB000110,"Citibank, N.A.","2025-10-02 11:00:46"
2019110026,UB000210,"Mega International Commercial Bank Co., Ltd. - Manila Branch","2025-10-02 11:00:46"
2019110041,CO014920,"Sto. Nino Meycauayan Savings and Credit Cooperative","2025-10-02 11:00:46"
2019120010,PF015020,"HCPH Financing 1 Inc.","2025-10-02 11:00:46"
2020010007,OT010290,"NPC Savings and Loan Association","2025-10-02 11:00:46"
2020010027,CO009010,"New World Hotel Associates Multipurpose Cooperative (New World Coop)","2025-10-02 11:00:46"
2020020012,RB003420,"Bangko Carrascal, Inc. (A Rural Bank)","2025-10-02 11:00:46"
2020020020,CO014370,"Bohol Community Multi-Purpose Cooperative","2025-10-02 11:00:46"
2020020061,CO014650,"Maritime Multi-Purpose Cooperative","2025-10-02 11:00:46"
2020020084,CO014270,"Palompon Community Multipurpose Cooperative (PACCI)","2025-10-02 11:00:46"
2020020087,CO012650,"PGH Bayanihan Multi-Purpose Cooperative","2025-10-02 11:00:46"
2021080674,CO009320,"King Multipurpose Cooperative (KING MPC)","2025-10-02 11:00:46"
2021080798,CO011180,"PLDT Employees Multi-Purpose Cooperative (TELESCOOP)","2025-10-02 11:00:46"
2021080822,CO017330,"Saint Joseph Parish Multi-Purpose Cooperative - Belance (SJPMPC-Belance​)","2025-10-02 11:00:46"
2022120001,CO016430,"Zamsurgea Community Multi-Purpose Cooperative","2025-10-02 11:00:46"
2023040004,CO019580,"The First Analytical Services and Technical Cooperative (F.A.S.T. Laboratories)","2025-10-02 11:00:46"
2024090023,CO010280,"Lear Employees Multipurpose Cooperative","2025-10-02 11:00:46"
